x,y,z
4.722590535611431,-74.07308962538188,10.0
4.723694903041915,-74.07138701367445,14.0
4.723235891948464,-74.0700510102292,10.0
4.724516296917876,-74.07038121395152,11.0
4.723030520738783,-74.06891489783325,14.0
4.721634938441822,-74.06927442779674,13.0
4.722044080291771,-74.07104838222834,11.0
4.720800365413036,-74.07091047993646,10.0
4.721727356735412,-74.07233376160582,11.0
4.719472610937617,-74.07106008434995,14.0
4.71981342190751,-74.06994722815865,12.0
4.719033825607277,-74.06978713279887,12.0
4.720023099358064,-74.06889424637924,14.0
4.721353029269048,-74.07033577389517,11.0
4.721846738346024,-74.06801628345806,10.0
4.723424002573069,-74.06754700780593,14.0
4.722270966788915,-74.06607209510086,13.0
4.721472550121097,-74.0663771449752,14.0
4.718844832712318,-74.06709036331027,12.0
4.716595507631077,-74.06655658887581,13.0
4.716304297131966,-74.06524632415201,12.0
4.71765068021675,-74.06559256280333,13.0
4.720068327625183,-74.06521931727566,11.0
4.718512989902908,-74.06395885213936,10.0
4.719627212684267,-74.06296673677632,13.0
4.721960650176171,-74.06365631534463,11.0
4.719634514335692,-74.06187958445288,14.0
4.71679176799131,-74.06278814310376,12.0
4.715585445906933,-74.06411178522772,12.0
4.714751468489509,-74.06466321170728,11.0
4.714008850524855,-74.06298865793784,13.0
4.712966100925866,-74.06364133252006,11.0
4.712710462758722,-74.06055777943183,11.0
4.714293728483439,-74.06133992447845,12.0
4.713721376206199,-74.06210645875449,12.0
4.715451561254146,-74.06125356181894,12.0
4.714545928396257,-74.05903928971469,11.0
4.712958497809024,-74.05766386811919,11.0
4.712989214265104,-74.05523874282245,11.0
4.715381005887685,-74.05447937053792,13.0
4.71740909595273,-74.05402035573528,14.0
4.716096356449499,-74.05569692950617,12.0
4.717278133168236,-74.05698667392151,11.0
4.718812641677046,-74.05871589048543,11.0
4.719390174238241,-74.05966486123303,10.0
4.721378969010202,-74.05906936244622,10.0
4.723404733253243,-74.0572931921074,10.0
4.723903695158509,-74.05732365889776,13.0
4.724687650757914,-74.05655110697414,10.0
4.723503939609057,-74.05468577336704,10.0
4.722412659025387,-74.05325388651534,10.0
4.721160861164536,-74.05304582904246,10.0
4.719790253593415,-74.05521337785433,13.0
4.720027277483355,-74.05707927823047,10.0
4.722694818214721,-74.0564686316152,10.0
4.722167500527648,-74.05589409839222,10.0
4.721127072680739,-74.05523337387399,14.0
4.721887438666252,-74.05423835460692,13.0
4.726385996782983,-74.05520866897432,12.0
4.727815551568043,-74.0528686406687,14.0
4.725471734802484,-74.05301199339398,13.0
4.724932478067125,-74.05259984607129,12.0
4.72693164379422,-74.05152015061897,14.0
4.728035529291504,-74.05415158507242,10.0
4.727045657630462,-74.05515774309502,13.0
4.725406364711227,-74.05607327157684,13.0
4.717507865428524,-74.05338249256397,10.0
4.714800781430705,-74.05353769133453,14.0
4.714576703051667,-74.05355776986215,14.0
4.711585788777756,-74.05477675283439,10.0
4.709057243274549,-74.05433156278058,10.0
4.708310400424157,-74.05556123129462,10.0
4.708400309753219,-74.0567179235832,12.0
4.7085200999151,-74.05933966181507,14.0
4.708697140991128,-74.06067975031297,14.0
4.708756986985807,-74.06067658429622,10.0
4.709329250367524,-74.06160553585464,11.0
4.709783126526636,-74.06188478859741,11.0
4.70999611779845,-74.06193481706988,10.0
4.711251870947122,-74.06248536729292,12.0
4.711747732721713,-74.06328704263906,14.0
4.71146947584143,-74.06077062416915,14.0
4.71029844550094,-74.059234271826,10.0
4.710602903276212,-74.05694714156665,11.0
4.709539412049793,-74.05723554796305,14.0
4.711873157021558,-74.07737762152287,11.0
4.714475635360005,-74.0754433890322,13.0
4.705154185386996,-74.0770412428089,12.0
4.702724053428307,-74.0626953790559,10.0
4.702086329654825,-74.07946350211759,13.0
4.700069064564797,-74.077916798032,11.0
